#Patterns,Configurations
102, 4
208, 45
240, 74
244, 79
243, 73
240, 69
236, 65
236, 66
236, 68
236, 68
236, 68
235, 68
235, 69
233, 67
232, 66
232, 66
231, 65
231, 65
230, 64
230, 65
229, 64
228, 63
228, 63
227, 62
226, 61
225, 60
225, 60
225, 60
225, 60
225, 61
224, 60
224, 60
224, 60
224, 60
224, 60
224, 60
223, 60
223, 60
221, 58
221, 58
220, 57
220, 57
220, 57
218, 55
218, 55
217, 55
215, 53
215, 53
215, 53
214, 52
214, 52
214, 52
214, 52
214, 52
214, 52
213, 51
213, 51
213, 51
213, 50
213, 50
212, 50
212, 50
212, 51
212, 52
211, 51
210, 50
209, 49
209, 49
209, 49
209, 49
209, 49
209, 49
209, 49
209, 48
209, 49
209, 49
209, 49
209, 49
209, 49
209, 49
209, 49
209, 49
209, 49
209, 49
208, 48
208, 48
207, 47
207, 47
208, 48
208, 48
207, 47
207, 47
207, 49
207, 49
207, 49
207, 49
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 48
206, 49
206, 49
206, 49
206, 49
205, 48
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
204, 47
203, 47
203, 47
203, 47
202, 46
202, 46
202, 46
202, 46
202, 46
202, 46
202, 46
202, 46
202, 46
202, 46
202, 46
202, 46
201, 45
201, 45
201, 45
201, 45
201, 45
201, 45
201, 45
200, 45
200, 45
200, 45
199, 44
199, 44
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
199, 44
200, 45
200, 45
200, 45
200, 45
200, 45
200, 45
200, 45
200, 45
200, 45
200, 45
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
199, 44
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
198, 43
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
197, 42
196, 41
196, 41
196, 41
