#Patterns,Configurations
125, 4
212, 48
256, 109
255, 141
232, 144
208, 134
181, 117
153, 104
130, 90
108, 78
93, 62
83, 50
75, 48
73, 44
70, 45
66, 42
61, 37
57, 35
55, 32
52, 30
48, 28
45, 27
45, 24
45, 25
43, 24
41, 23
41, 22
42, 22
42, 22
42, 22
42, 22
41, 22
41, 22
43, 22
43, 23
41, 24
40, 24
41, 25
40, 26
38, 25
36, 23
36, 23
36, 23
35, 23
35, 23
35, 23
35, 23
35, 23
35, 23
34, 22
34, 22
34, 22
34, 22
34, 22
34, 22
34, 22
34, 22
34, 22
33, 21
33, 21
32, 20
32, 20
31, 19
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
31, 18
32, 18
32, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
31, 19
30, 19
30, 19
29, 19
29, 19
28, 19
28, 19
27, 19
27, 19
26, 19
25, 19
25, 19
24, 19
24, 19
23, 18
23, 18
23, 18
23, 18
23, 18
22, 18
22, 18
22, 18
22, 18
21, 17
20, 16
20, 16
